VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
8352,LUXCO INC,2132,Lord Calvert Canadian,10.23,12.99,1750.0,8644,88428.12,0,0,0,0,10261.6,-88428.12,-inf,0.0,0.0
660,SAZERAC NORTH AMERICA INC.,4626,Meukow VS Cognac,11.19,24.49,750.0,7898,88378.62,0,0,0,0,17932.33,-88378.62,-inf,0.0,0.0
9552,M S WALKER INC,12213,Evodia Garnacha Old Vine,5.29,8.99,750.0,16697,88327.13,0,0,0,0,55551.82,-88327.13,-inf,0.0,0.0
3664,WILLIAM GRANT & SONS INC,1228,Glenfiddich Ancient RSV 18,69.76,95.99,750.0,1263,88106.88,0,0,0,0,30234.420000000002,-88106.88,-inf,0.0,0.0
17035,PERNOD RICARD USA,859,Beefeater Gin,17.29,22.99,1000.0,5093,88057.97,0,0,0,0,123780.22,-88057.97,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,24996,Lincourt Steel Chard,6.84,9.99,750.0,12861,87969.24,0,0,0,0,144929.24,-87969.24,-inf,0.0,0.0
3252,E & J GALLO WINERY,2152,New Amsterdam Gin,7.19,9.99,750.0,12182,87588.58,0,0,0,0,61966.91,-87588.58,-inf,0.0,0.0
660,SAZERAC NORTH AMERICA INC.,8370,Chi Chi's Margarita,5.71,8.99,1750.0,15333,87551.43,0,0,0,0,17932.33,-87551.43,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,3609,Smirnoff Vanilla Vodka,0.74,0.99,50.0,118058,87362.92,0,0,0,0,257032.07,-87362.92,-inf,0.0,0.0
480,BACARDI USA INC,4229,Bacardi Black,14.7,19.99,1750.0,5924,87082.8,0,0,0,0,89286.27,-87082.8,-inf,0.0,0.0
660,SAZERAC NORTH AMERICA INC.,1479,Ten High,9.22,11.99,1750.0,9433,86972.26,0,0,0,0,17932.33,-86972.26,-inf,0.0,0.0
1128,BROWN-FORMAN CORP,63,Herradura Reposado Tequila,30.46,38.99,750.0,2855,86963.3,0,0,0,0,68601.68,-86963.3,-inf,0.0,0.0
17035,PERNOD RICARD USA,3085,Absolut Mini Bar 5/50mls,4.72,5.99,50.0,18419,86937.68000000001,0,0,0,0,123780.22,-86937.68000000001,-inf,0.0,0.0
17035,PERNOD RICARD USA,3591,Absolut Vanilia,13.48,16.99,750.0,6448,86919.04,0,0,0,0,123780.22,-86919.04,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,2696,McClelland Highland Sgl Malt,25.19,37.99,1750.0,3439,86628.40999999999,0,0,0,0,123880.97,-86628.40999999999,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,12994,Acrobat Pnt Gris Oregon,8.16,12.99,750.0,10611,86585.76,0,0,0,0,144929.24,-86585.76,-inf,0.0,0.0
9165,ULTRA BEVERAGE COMPANY LLP,3762,Patron Silver Tequila,4.61,5.99,50.0,18781,86580.41,0,0,0,0,68054.7,-86580.41,-inf,0.0,0.0
7153,PINE STATE TRADING CO,6499,Kinky Liqueur,12.68,17.99,750.0,6812,86376.16,0,0,0,0,15884.82,-86376.16,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,2986,Hibiki Harmony Japan Whiskey,51.96,65.99,750.0,1659,86201.64,0,0,0,0,123880.97,-86201.64,-inf,0.0,0.0
3924,HEAVEN HILL DISTILLERIES,1178,Evan Williams Black Label B,7.83,10.99,750.0,10989,86043.87,0,0,0,0,14069.87,-86043.87,-inf,0.0,0.0
17035,PERNOD RICARD USA,1876,Midleton Rare Irish Whiskey,106.61,149.99,750.0,806,85927.65999999999,0,0,0,0,123780.22,-85927.65999999999,-inf,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,12147,Sterling Vintners CA Meritag,5.26,7.95,750.0,16333,85911.58,0,0,0,0,7259.75,-85911.58,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,5725,DeKuyper Sour Apple Pucker,7.4,10.99,750.0,11600,85840.0,0,0,0,0,123880.97,-85840.0,-inf,0.0,0.0
7245,PROXIMO SPIRITS INC.,2952,Old Bushmills,14.61,18.99,750.0,5875,85833.75,0,0,0,0,38994.78,-85833.75,-inf,0.0,0.0
9552,M S WALKER INC,3768,Jenkins Vodka,3.62,5.99,750.0,23649,85609.38,0,0,0,0,55551.82,-85609.38,-inf,0.0,0.0
